223 unlabelled training bactches, 94 labelled batches. Will reuse samples to match batch numbers
Epoch 1, train accuracy:0.00%, batch: 1/223
Epoch 2, train accuracy:10.86%, batch: 21/223
Epoch 2, train accuracy:10.80%, batch: 22/223
Epoch 2, train accuracy:10.73%, batch: 23/223
Epoch 2, train accuracy:10.68%, batch: 24/223
Epoch 2, train accuracy:10.88%, batch: 25/223
Epoch 2, train accuracy:11.06%, batch: 26/223
Epoch 2, train accuracy:11.23%, batch: 27/223
Epoch 2, train accuracy:11.38%, batch: 28/223
Epoch 2, train accuracy:11.53%, batch: 29/223
Epoch 2, train accuracy:12.08%, batch: 30/223
Epoch 2, train accuracy:12.60%, batch: 31/223
Epoch 2, train accuracy:13.09%, batch: 32/223
Epoch 2, train accuracy:13.54%, batch: 33/223
Epoch 2, train accuracy:13.97%, batch: 34/223
Epoch 2, train accuracy:14.38%, batch: 35/223
Epoch 2, train accuracy:14.76%, batch: 36/223
Epoch 2, train accuracy:15.12%, batch: 37/223
Epoch 2, train accuracy:15.46%, batch: 38/223
Epoch 2, train accuracy:15.54%, batch: 39/223
Epoch 2, train accuracy:15.62%, batch: 40/223
Epoch 2, train accuracy:15.70%, batch: 41/223
Epoch 2, train accuracy:15.77%, batch: 42/223
Epoch 2, train accuracy:15.84%, batch: 43/223
Epoch 2, train accuracy:15.91%, batch: 44/223
Epoch 2, train accuracy:15.97%, batch: 45/223
Epoch 2, train accuracy:16.03%, batch: 46/223
Epoch 2, train accuracy:16.09%, batch: 47/223
Epoch 2, train accuracy:16.15%, batch: 48/223
Epoch 2, train accuracy:16.20%, batch: 49/223
Epoch 2, train accuracy:16.25%, batch: 50/223
Epoch 2, train accuracy:16.30%, batch: 51/223
Epoch 2, train accuracy:16.35%, batch: 52/223
Epoch 2, train accuracy:16.39%, batch: 53/223
Epoch 2, train accuracy:16.44%, batch: 54/223
Epoch 2, train accuracy:16.48%, batch: 55/223
Epoch 2, train accuracy:16.52%, batch: 56/223
Epoch 2, train accuracy:16.56%, batch: 57/223
Epoch 2, train accuracy:16.59%, batch: 58/223
Epoch 2, train accuracy:16.63%, batch: 59/223
Epoch 2, train accuracy:16.67%, batch: 60/223
Epoch 2, train accuracy:16.70%, batch: 61/223
Epoch 2, train accuracy:16.73%, batch: 62/223
Epoch 2, train accuracy:16.77%, batch: 63/223
Epoch 2, train accuracy:16.80%, batch: 64/223
Epoch 2, train accuracy:16.83%, batch: 65/223
Epoch 2, train accuracy:16.86%, batch: 66/223
Epoch 2, train accuracy:16.88%, batch: 67/223
Epoch 2, train accuracy:16.91%, batch: 68/223
Epoch 2, train accuracy:16.94%, batch: 69/223
Epoch 2, train accuracy:16.96%, batch: 70/223
Epoch 2, train accuracy:16.99%, batch: 71/223
Epoch 2, train accuracy:17.01%, batch: 72/223
Epoch 2, train accuracy:17.04%, batch: 73/223
Epoch 2, train accuracy:17.06%, batch: 74/223
Epoch 2, train accuracy:17.08%, batch: 75/223
Epoch 2, train accuracy:17.11%, batch: 76/223
Epoch 2, train accuracy:17.13%, batch: 77/223
Epoch 2, train accuracy:17.15%, batch: 78/223
Epoch 2, train accuracy:17.17%, batch: 79/223
Epoch 2, train accuracy:17.19%, batch: 80/223
Epoch 2, train accuracy:17.21%, batch: 81/223
Epoch 2, train accuracy:17.23%, batch: 82/223
Epoch 2, train accuracy:17.24%, batch: 83/223
Epoch 2, train accuracy:17.26%, batch: 84/223
Epoch 2, train accuracy:17.28%, batch: 85/223
Epoch 2, train accuracy:17.30%, batch: 86/223
Epoch 2, train accuracy:17.31%, batch: 87/223
Epoch 2, train accuracy:17.33%, batch: 88/223
Epoch 2, train accuracy:17.35%, batch: 89/223
Epoch 2, train accuracy:17.36%, batch: 90/223
Epoch 2, train accuracy:17.38%, batch: 91/223
Epoch 2, train accuracy:17.39%, batch: 92/223
Epoch 2, train accuracy:17.41%, batch: 93/223
Epoch 2, train accuracy:17.42%, batch: 94/223
Epoch 2, train accuracy:17.43%, batch: 95/223
Epoch 2, train accuracy:17.45%, batch: 96/223
Epoch 2, train accuracy:17.46%, batch: 97/223
Epoch 2, train accuracy:17.47%, batch: 98/223
Epoch 2, train accuracy:17.49%, batch: 99/223
Epoch 2, train accuracy:17.50%, batch: 100/223
Epoch 2, train accuracy:17.51%, batch: 101/223
Epoch 2, train accuracy:17.52%, batch: 102/223
Epoch 2, train accuracy:17.54%, batch: 103/223
Epoch 2, train accuracy:17.55%, batch: 104/223
Epoch 2, train accuracy:17.56%, batch: 105/223
Epoch 2, train accuracy:17.57%, batch: 106/223
Epoch 2, train accuracy:17.58%, batch: 107/223
Epoch 2, train accuracy:17.59%, batch: 108/223
Epoch 2, train accuracy:17.60%, batch: 109/223
Epoch 2, train accuracy:17.61%, batch: 110/223
Epoch 2, train accuracy:17.62%, batch: 111/223
Epoch 2, train accuracy:17.63%, batch: 112/223
Epoch 2, train accuracy:17.53%, batch: 113/223
Epoch 2, train accuracy:17.43%, batch: 114/223
Epoch 2, train accuracy:17.34%, batch: 115/223
Epoch 2, train accuracy:17.24%, batch: 116/223
Epoch 2, train accuracy:17.15%, batch: 117/223
Epoch 2, train accuracy:17.06%, batch: 118/223
Epoch 2, train accuracy:16.96%, batch: 119/223
Epoch 2, train accuracy:16.87%, batch: 120/223
Epoch 2, train accuracy:16.79%, batch: 121/223
Epoch 2, train accuracy:16.70%, batch: 122/223
Epoch 2, train accuracy:16.69%, batch: 123/223
Epoch 2, train accuracy:16.68%, batch: 124/223
Epoch 2, train accuracy:16.67%, batch: 125/223
Epoch 2, train accuracy:16.67%, batch: 126/223
Epoch 2, train accuracy:16.66%, batch: 127/223
Epoch 2, train accuracy:16.65%, batch: 128/223
Epoch 2, train accuracy:16.64%, batch: 129/223
Epoch 2, train accuracy:16.63%, batch: 130/223
Epoch 2, train accuracy:16.63%, batch: 131/223
Epoch 2, train accuracy:16.62%, batch: 132/223
Epoch 2, train accuracy:16.61%, batch: 133/223
Epoch 2, train accuracy:16.60%, batch: 134/223
Epoch 2, train accuracy:16.60%, batch: 135/223
Epoch 2, train accuracy:16.59%, batch: 136/223
Epoch 2, train accuracy:16.58%, batch: 137/223
Epoch 2, train accuracy:16.58%, batch: 138/223
Epoch 2, train accuracy:16.57%, batch: 139/223
Epoch 2, train accuracy:16.54%, batch: 140/223
Epoch 2, train accuracy:16.51%, batch: 141/223
Epoch 2, train accuracy:16.48%, batch: 142/223
Epoch 2, train accuracy:16.48%, batch: 143/223
Epoch 2, train accuracy:16.47%, batch: 144/223
Epoch 2, train accuracy:16.47%, batch: 145/223
Epoch 2, train accuracy:16.46%, batch: 146/223
Epoch 2, train accuracy:16.45%, batch: 147/223
Epoch 2, train accuracy:16.45%, batch: 148/223
Epoch 2, train accuracy:16.44%, batch: 149/223
Epoch 2, train accuracy:16.44%, batch: 150/223
Epoch 2, train accuracy:16.43%, batch: 151/223
Epoch 2, train accuracy:16.43%, batch: 152/223
Epoch 2, train accuracy:16.42%, batch: 153/223
Epoch 2, train accuracy:16.42%, batch: 154/223
Epoch 2, train accuracy:16.41%, batch: 155/223
Epoch 2, train accuracy:16.41%, batch: 156/223
Epoch 2, train accuracy:16.40%, batch: 157/223
